templatePath,sourceFormat,extractedFrom,locationType,sheetOrPart,address,colorKind,colorRaw,colorName,valueText,labelText,contextText,requirement,suggestedFieldPath,suggestedFieldLabel,dbStatus
dreaMs様/行政書士業務/農地法/農地法3条許可/3条新様式.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:517,font,font:FF0000,red,（空欄）,,,住所,applicant.addressFull,申請者住所,existing
dreaMs様/行政書士業務/農地法/農地法3条許可/3条新様式.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:518,font,font:FF0000,red,（空欄）,,,住所,applicant.addressFull,申請者住所,existing
dreaMs様/行政書士業務/農地法/農地法3条許可/3条新様式.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:519,font,font:FF0000,red,（空欄）,,,住所,applicant.addressFull,申請者住所,existing
dreaMs様/行政書士業務/農地法/農地法3条許可/3条新様式.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:520,font,font:FF0000,red,（空欄）,,,住所,applicant.addressFull,申請者住所,existing
dreaMs様/行政書士業務/農地法/農地法3条許可/3条新様式.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:527,font,font:FF0000,red,（空欄）,,,住所,applicant.addressFull,申請者住所,existing
dreaMs様/行政書士業務/農地法/農地法4条許可/4条許可申請書.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:52,font,font:3366FF,blue,（空欄）,,総事業費 調達方法,,,,review_required
dreaMs様/行政書士業務/農地法/農地法4条許可/4条許可申請書.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:52,font,font:3366FF,blue,（空欄）,,総事業費 調達方法,,,,review_required
dreaMs様/行政書士業務/農地法/農地法4条許可/4条許可申請書.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:54,font,font:3366FF,blue,（空欄）,,自己資金,,,,review_required
dreaMs様/行政書士業務/農地法/農地法4条許可/4条許可申請書.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:55,font,font:3366FF,blue,（空欄）,,（ ）,,,,review_required
dreaMs様/行政書士業務/農地法/農地法4条許可/4条許可申請書.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:55,font,font:3366FF,blue,（空欄）,,（ ）,,,,review_required
dreaMs様/行政書士業務/農地法/農地法4条許可/4条許可申請書.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:55,font,font:3366FF,blue,（空欄）,,（ ）,,,,review_required
dreaMs様/行政書士業務/農地法/農地法4条許可/4条許可申請書.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:56,font,font:3366FF,blue,（空欄）,,借入金,,,,review_required
dreaMs様/行政書士業務/農地法/農地法4条許可/4条許可申請書.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:57,font,font:3366FF,blue,（空欄）,,（ ）,,,,review_required
dreaMs様/行政書士業務/農地法/農地法4条許可/4条許可申請書.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:57,font,font:3366FF,blue,（空欄）,,（ ）,,,,review_required
dreaMs様/行政書士業務/農地法/農地法4条許可/4条許可申請書.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:57,font,font:3366FF,blue,（空欄）,,（ ）,,,,review_required
dreaMs様/行政書士業務/農地法/農地法4条許可/4条許可申請書.doc,doc,converted_docx,docx_run,word/document.xml,paragraph:58,font,font:3366FF,blue,（空欄）,,合計 合計,金額・費用項目,,,review_required
